Name,Author,Path,Servings,Ingredients,Instructions
Matzo Ball Soup,Tested and perfected in the Sur La Table kitchen,home/recipes/soups-stews/meat-poultry/Matzo Ball Soup,1 serving,  Chicken stock: 1 4–5-lb. chicken cut into 8 pieces 1 pound chicken wings necks and/or backs 2 large yellow onions unpeeled quartered 6 celery stalks cut into 1" pieces 4 large carrots peeled cut into 1" pieces 1 large parsnip peeled cut into 1" pieces 1 large shallot quartered 1 head of garlic halved crosswise 6 sprigs flat-leaf parsley 1 tablespoon black peppercorns  Matzo ball mixture: 3 large eggs beaten to blend  3/4-cup matzo meal  3/4-cup schmaltz (chicken fat) melted 3 tablespoons club soda 1 3/4 teaspoon kosher salt  For the assembly: 2 small carrots peeled sliced  3/4" thick on a diagonal Kosher salt 2 tablespoons coarsely chopped fresh dill Coarsely ground fresh black pepper   , To make the chicken stock: Bring all ingredients and 12 cups cold water to a boil in a very large (at least 12 qt.) stockpot. Reduce heat to medium-low and simmer until chicken breasts are cooked through about 20 minutes.  Transfer breasts to a plate (remaining chicken parts are strictly for stock). Let breasts cool slightly then remove meat and return bones to stock. Shred meat. Let cool tightly wrap and chill.  Continue to simmer stock skimming surface occasionally until reduced by one-third about 2 hours. Strain chicken stock through a fine-mesh sieve into a large saucepan (or airtight container if not using right away); discard solids. You should have about 8 cups.  Make ahead: Stock can be made 2 days ahead. Let cool; cover and chill. Keep reserved chicken meat chilled.  To make the Matzo Ball mixture: Mix eggs matzo meal schmaltz club soda and salt in a medium bowl (mixture will resemble wet sand; it will firm up as it rests). Cover and chill at least 2 hours.  Make ahead: Mixture can be made 1 day ahead. Keep chilled.  Assembly: Bring chicken stock to a boil in a large saucepan. Add carrots; season with salt. Reduce heat and simmer until carrots are tender 5–7 minutes. Remove from heat add reserved breast meat and cover. Set soup aside.  Meanwhile bring a large pot of well-salted water to a boil. Scoop out 2-tablespoonful portions matzo ball mixture and using wet hands gently roll into balls.  Add matzo balls to water and reduce heat so water is at a gentle simmer (too much bouncing around will break them up). Cover pot and cook matzo balls until cooked through and starting to sink 20–25 minutes.  Make ahead: Using a slotted spoon transfer matzo balls to bowls. Ladle soup over top with dill and season with pepper.  
Parsnip Soup with Fried Sage,Eating Local: Reprinted with permission of Andrews McMeel Publishing recipes by Janet Fletcher photography by Sara Remington,home/recipes/soups-stews/vegetarian/Parsnip Soup with Fried Sage,6 servings,  1 1/2 pounds parsnips 2 tablespoons unsalted butter  1/2 large yellow onion thinly sliced 1 large celery rib thinly sliced 5 cups chicken or vegetable broth (if canned use equal parts broth and water) plus more if needed 6 thyme sprigs Kosher or sea salt and freshly ground black pepper  Garnish: 2 tablespoons extra virgin olive oil 12 fresh sage leaves Kosher or sea salt   , Parsnips may look like pale carrots but their sweet nutty flavor and slightly starchy texture are closer to chestnuts or Japanese sweet potatoes. Pureed with onions and broth they make a velvety soup the color of ivory. Float crisp fried sage leaves on top for a dramatic garnish or top more simply with a sliver of butter and sprinkling of chives.  Peel the parsnips with a vegetable peeler and trim the thick stem end. Remove any part of the slender tip that is thinner than a pencil. Cut the trimmed parsnips into manageable lengths of about 3 inches and then quarter lengthwise. With a paring knife cut away and discard the hard central core. Cut the trimmed parsnips into  1/2-inch dice. You should have about 5 cups.  Melt the butter in a large heavy pot over moderate heat. Add the onion and celery and cook stirring often until the onion starts to color 7 to 8 minutes. Add the parsnips broth and thyme sprigs and bring to a simmer. Cover adjust the heat to maintain a gentle simmer and cook until the parsnips are tender about 20 minutes.  Remove the thyme sprigs. Let the soup cool slightly then puree in a blender or food processor until smooth in batches if necessary. Return the soup to a clean pot and reheat to serve thinning to the desired consistency with additional broth. Season with salt and pepper.  While the soup reheats prepare the garnish. Heat the olive oil in a small skillet over moderately high heat. Add the sage leaves in batches and cook quickly turning once or twice until crisp about 1 minute total. Transfer the leaves to paper towels to drain. Sprinkle with salt. They will crisp more as they cool.  Divide the soup among warmed soup bowls. Garnish each portion with 2 sage leaves. Serve immediately.   
Rhubarb Curd,Recipe developed for Sur La Table's Cooking Classes,home/recipes/desserts/cookies-bars-brownies/Rhubarb Curd,1 serving,   3/4 pound rhubarb (about 6 stalks) cut into 1-inch chunks  3/4 cup plus  1/3 cup plus  1/8 cup sugar divided 4 egg yolks 3 tablespoons unsalted butter cut into chunks 1 teaspoon lemon zest 2 teaspoons lemon juice   , Wash the rhubarb and trim as little off the ends as possible. In a small saucepan heat rhubarb  3/4 cup sugar and 4 tablespoons water over medium heat. Cook until the rhubarb falls apart adding water by the tablespoon if the rhubarb sticks to the bottom of the pan. At this point either use an immersion blender to puree the mixture or (if you're like me and your blender is otherwise occupied) push the mixture through a strainer-the first method is definitely easier.  Put a couple inches of water into the pot of a double boiler and set it over medium heat. Put the egg yolks the remaining  1/3 cup plus  1/8 cup sugar the butter lemon zest and lemon juice in the bowl of the double boiler and whisk to combine. When the sugar has dissolved completely mix in the warm rhubarb puree by the spoonful to temper the eggs. When all the rhubarb has been mixed in set the bowl over the pot; the water should be simmering. Stir for about 5 minutes until warm and slightly thickened. Remove from the heat. Press through a fine-mesh strainer-this will give your curd that smooth pudding-like texture-into a jar or other container with lid. Once cooled the curd will keep in the fridge for up to a week.   
Pumpkin Cookies with Pistachios,Tested and perfected in the Sur la Table kitchen,home/recipes/desserts/cookies-bars-brownies/Pumpkin Cookies with Pistachios,24 cookies,  1 cup fresh or canned pumpkin puree  2 cups all-purpose flour  1/2 cup pistachios unsalted roasted and coarsely chopped 1 teaspoon baking powder  1/2 teaspoon baking soda  1/2 teaspoon cinnamon  1/2 teaspoon ginger  1/2 teaspoon nutmeg  3/4 teaspoon kosher salt 1 cup unsalted butter room temperature  1/2 cup granulated sugar  1/2 cup light brown sugar 1 large egg 1 teaspoon vanilla extract   , The pumpkin puree makes this cookie batter slightly more moist then a traditional batter. Add more or less spice depending on your personal taste. If you cannot find unsalted pistachios you can use salted roasted pistachios; however you must omit the additional salt from the recipe.  Preheat the oven to 350 degrees F and position an oven rack in the center. Line 2 baking sheets with silpat or parchment paper.  In medium bowl combine the flour pistachios baking powder baking soda cinnamon ginger nutmeg and salt. If you are using salted pistachios omit adding the salt.  In the bowl of a stand mixer fitted with a paddle attachment cream the butter with the sugars until light and fluffy about 4 minutes. Use a silicone spatula to scrape down the side of the bowl and add the egg and vanilla until well combined. Scrape down the side of the bowl and add the pumpkin puree and beat until fully incorporated about 2 minutes.  Scrape down the sides of the bowl and add all of the flour and pistachio mixture. Mix on low speed until just incorporated.  Scoop a tablespoon sized mound of dough onto the baking sheet spacing them 1 inch apart. Bake one sheet at a time until the bottoms of the cookies are golden-brown about 25 minutes. Immediately transfer to the cookies to a rack and cool completely.    
Cantaloupe Mint Quick Pops,Zoku,home/recipes/desserts/ice-cream-yogurt-sorbets/Cantaloupe Mint Quick Pops,6 pops,  3 cups cubed cantaloupe (approximately  1/2 cantaloupe)  6 mint leaves 3 tablespoons of water 1 tablespoon agave nectar   , Place all ingredients in a blender and puree until smooth and well combined. Remove the Quick Pop Maker from your freezer; insert sticks. Pour the puree into molds until you reach the fill line. Let freeze completely; remove the pops with the Super Tool.Repeat with remaining 3 pops and enjoy this refreshing treat.   
Salmon with Bacon and Onions,Lekue,home/recipes/main-courses/seafood/Salmon with Bacon and Onions,1 to 2 servings,  2 6-oz. salmon fillets  1/2 cup chopped white onion 2 strips bacon chopped (optional)  1/2 cup water 1 tbsp. extra virgin olive oil Salt  Pepper   , Delicious salmon infused with fragrant onion and bacon is an impressive savory main dish. For use with large Lekue Steam Case.  Pour the water into the bottom of the Lekue Steam Case.  Season the salmon with salt and pepper and drizzle with extra virgin olive oil.   Place the rest of the ingredients into the steam case close the lids and cook in the microwave for 6- 7 minutes (depending on how you prefer your salmon) at 800 watts.   Remove the case from the microwave and enjoy.   
Carrot Beet and Orange Juice,Breville,home/recipes/beverages/cold-beverages/Carrot Beet and Orange Juice,2 servings,  2 medium carrots trimmed 3 medium beets trimmed 4 oranges peeled   , If you've been looking to get beets in your diet sweet carrots and tart orange juice round out this delicious drink.  Process carrots beets and oranges through juicer. Serve immediately.   
Fennel and Leek Soup with Gruyere Croutons,Tested and perfected in the Sur La Table kitchen,home/recipes/soups-stews/vegetarian/Fennel and Leek Soup with Gruyere Croutons,6 servings,   2 tablespoons olive oil   6 medium leeks white parts only cut in half lengthwise washed and thinly sliced   4 medium fennel bulbs fronds removed (and reserved) and thinly sliced   2 medium garlic cloves chopped   2 medium potatoes peeled and roughly chopped   4 cups chicken or vegetable broth low-sodium    3/4 cup whipping cream   Kosher salt and freshly ground black pepper   1 tablespoon lemon juice to taste   2 tablespoons unsalted butter    12 baguette slices    1/2 cup grated Gruyere cheese   1 teaspoon minced thyme   Kosher salt and freshly ground black pepper   2 tablespoons minced fennel fronds to garnish    , This simple yet hearty soup gains texture and flavor with the addition of potatoes. Creamy rich and flavorful this soup is accentuated with the addition of savory gruyere croutons.    Place a large saucepan on the stove over a moderate-high heat add oil and when shimmering add leeks and fennel and cook until tender about 8 minutes. Add the garlic and cook until fragrant about 1 minute. Stir in the potatoes and broth and bring to a boil. Reduce the heat to medium and simmer the soup until the vegetables are fork tender about 25 minutes.    Using an immersion blender or working in batches using a food processor puree the mixture until smooth. Add the cream and return to the stove and bring back to a boil. Add the lemon juice and taste and season with salt and pepper.    To prepare croutons:  Preheat a broiler. Using an offset spatula spread the butter on 1 side of each slice of baguette. Arrange the bread buttered side up on a baking sheet. Sprinkle with cheese thyme and salt and pepper. Transfer the baking sheet under the broiler until the cheese melts about 1 minute. Do not leave broiler unattended. Once cool cut bread into bite-size croutons.   To serve:  Ladle the soup into warmed soup bowls and garnish with minced fennel fronds. Serve immediately with Gruyere croutons.   
Spanish Tomato Toast  (Pan con Tomate),Tested and perfected in the Sur la Table kitchen,home/recipes/appetizers/vegetarian/Spanish Tomato Toast  (Pan con Tomate),8 servings,  8 slices sourdough or country-style bread cut into  3/4-inch thick slices 4 cloves garlic peeled and cut in half 4 small ripe tomatoes cut in half Cruet of extra-virgin olive oil Small bowl of coarse salt or sea salt Freshly ground peppercorns   , This traditional Catalan dish is light luscious and bursting with bright ripe tomatoes olive oil and garlic. For the best flavor use vine-ripe tomatoes preferably home grown. If not available slow-roasted or baked tomatoes may be substituted.  Grill the bread approximately 2 to 4 minutes per side on a barbecue or toast it lightly in the oven.   Once the bread is toasted rub  1/2 clove of garlic (cut side of half) over the warm bread. Use a fresh piece of garlic for each slice. Rub tomato (cut side) over the bread pressing firmly to push the pulp into the bread until the toast is covered with tomato. Discard the tomato skins and remaining pulp. Drizzle olive oil over the bread and tomatoes then sprinkle with salt and ground pepper. Serve immediately.  Optional garnish choose one or a combination:    1/2 cup green Spanish olives 12 anchovy fillets soaked in cold water for 10 minutes drained and patted dry    6 paper-thin slices Spanish ham or prosciutto    12 paper-thin slices of Manchego    
Deviled Eggs,Recipe developed for Sur La Table's Cooking Classes,home/recipes/appetizers/cold/Deviled Eggs,4 servings,  6 large eggs 3 tablespoons sour cream 1 tablespoon Dijon mustard  1 teaspoon lemon juice Kosher salt and fresh ground pepper  3/4 teaspoon sweet paprika Fresh chives cut into 1-inch segments for garnish   , When making deviled eggs using fresh eggs will result in the best flavor. Most egg cartons have a “use by” date on the carton but it is always good to know how to check eggs. Place an egg in a glass of water-if it is fresh the egg will lie horizontally on the bottom but if it is old it will stand upright and pop up to the top of the glass.   To hard boil the eggs: Place eggs in a single layer in a saucepan; add cold water to cover by 3 inches. Bring to a rolling boil over high heat. Remove pan from the heat; cover and let stand for 12 minutes. Using a slotted spoon transfer eggs to ice-water bath. Once cook tap each egg firmly on the counter until cracks form all over the shell. Peel under cold running water.  To prepare the deviled eggs: Cut the peeled eggs in half and use a small teaspoon to remove the yolks placing them into a medium bowl. Set the hollowed egg whites aside on a plate or baking sheet. To the bowl with the yolks add the sour cream mustard and lemon juice; mix well to combine. Taste and adjust seasoning with salt and pepper. Transfer the yolk mixture into a piping bag with a star tip and pipe the mixture into the cavity of the egg whites. Garnish with paprika and chive segments; chill until ready to serve.  To serve: Arrange the deviled eggs on a platter or serving plate.   
Neapolitan Pizza Dough,Tested and perfected in the Sur la Table kitchen,home/recipes/breads/dough/Neapolitan Pizza Dough,4 (10-inch) or 8 (5-inch) pizzas,  2 cups (11 ounces) bread flour plus more as needed and for work surface  2 teaspoons granulated sugar  1 teaspoon kosher salt   1 envelope (2- 3/4 teaspoons) instant yeast 1 cup warm water (105 to 115 degrees)  2 tablespoons extra-virgin olive oil plus more for oiling the bowl   , Authentic Neapolitan pizza dough is a simple thin-crust pizza dough that originated in Naples in the 1800s. Originally pizzas in Naples were made with a simple tomato sauce and vegetables. Cheese did not become a usual topping until the 1880s.  Place flour sugar salt and yeast in the bowl of a stand mixer fitted with a dough hook. Mix on low speed for 30 seconds to combine. With mixer running on low speed add water and olive oil and mix for 1 minute to combine. Increase speed to medium and process until dough forms a slightly sticky ball about 1 to 2 minutes. If ball does not form add more flour 1 tablespoon at a time and continue mixing until ball forms. Coat a large mixing bowl with a thin film of olive oil. Transfer dough ball to prepared mixing bowl and cover with plastic wrap. Let rest until doubled in volume about 1- 1/2 to 2 hours.   Press dough gently to remove air bubbles and turn out on a lightly floured work surface. Using a bench scraper divide dough into 8 equal pieces. Roll each piece into a tight ball cover loosely with plastic wrap and allow dough to rest for 15 minutes.  Dust work surface with flour. Flatten one dough ball to a thickness of  1/2 inch and roll to a diameter of about 5 inches keeping the remaining dough covered.   Transfer dough rounds to a parchment paper-lined rimmed baking sheet and cover with another piece of parchment. Continue rolling dough balls and placing on the baking sheet separating layers of rolled dough with additional sheets of parchment as needed. Cover stack of dough rounds with plastic wrap and set aside until ready to bake.   
Blackberry Tequila Sage Smash,Ashley Cuoco,home/recipes/beverages/alcoholic-beverages/Blackberry Tequila Sage Smash,1 drink,  Blackberry Sage Simple Syrup  1/2 cup turbinado cane sugar  1/2 cup water 7 ripe blackberries 3 large fresh sage leaves  Cocktail: 3 ripe blackberries Crushed ice 1-ounce Blackberry Sage Simple Syrup 2 ounces Tequila Juice of 1 lime Lime flavored seltzer Extra lime wedges and blackberries for garnish  , To make simple syrup: combine sugar and water in a small saucepan. Add blackberries. Tear sage leaves a bit to break and release some of their oils. Stir and bring to a boil over medium-high heat. Remove from heat and strain syrup into a mason jar. Press onto the sage and blackberries with the back of a spoon to release as much liquid as possible. Chill jar in the freezer for 20 minutes until cool.  To make the cocktail: add 3 blackberries to a short glass. Muddle berries gently to break up. Add a handful of crushed ice simple syrup tequila and lime juice. Top off with seltzer. Garnish with extra lime wedges and blackberries to serve. 
Southwestern Zoodle Salad with Chipotle-Lime Dressing.,Tested and perfected in the Sur la Table kitchen,home/recipes/salads/fruit-vegetable/Southwestern Zoodle Salad with Chipotle-Lime Dressing.,1 serving,  Southwestern Zoodle Salad: 2 medium zucchinis spiralized 2 medium carrots spiralized 1 cup cherry tomatoes halved 1 ear of roasted corn stripped 1 can black beans drained  1/2 cup feta  Creamy Chipotle-Lime Dressing:  3/4 cup sour cream 1 tablespoon chipotle paste 1/8 teaspoon southwestern chipotle seasoning mix 1/8 teaspoon chili powder 1 tablespoon lime juice   , Banish boring salads with this zesty mix of spiralized zucchini and carrots black beans tangy feta and creamy chipotle-lime dressing.  Place spiralized zucchini and carrots in a bowl. Add tomatoes and drained black beans; toss gently. Add feta and toss again.  Before roasting corn place cob (with husk) in a pot with enough water to cover; soak at least 15 minutes.  Preheat grill pan or charcoal grill. Remove silks from corn but leave the husks.  Place corn on preheated grill. Cook turning occasionally about 20 minutes or until tender. Remove from heat cool slightly and discard husks.  Cut the kernels from the cob and add to other prepped ingredients. Add salad dressing and toss thoroghly. Add salt and pepper to taste.    Note: Chipotle paste can be left out for those who don't like it too spicy.   
